Unnamed: 0,tweet_id,favorite_count,retweet_count
0,892420643555336193,36240,7714
1,892177421306343426,31250,5700
2,891815181378084864,23530,3779
3,891689557279858688,39523,7869
4,891327558926688256,37734,8485
5,891087950875897856,19006,2841
6,890971913173991426,11069,1851
7,890729181411237888,61048,17211
8,890609185150312448,26172,3917
9,890240255349198849,29887,6702
10,890006608113172480,28783,6684
11,889880896479866881,26193,4554
12,889665388333682689,45090,9133
13,889638837579907072,25367,4096
14,889531135344209921,14198,2059
15,889278841981685760,23630,4863
16,888917238123831296,27328,4108
17,888804989199671297,23998,3875
18,888554962724278272,18545,3180
19,888078434458587136,20434,3162
20,887705289381826560,28382,4914
21,887517139158093824,43528,10747
22,887473957103951883,64506,16431
23,887343217045368832,31595,9557
24,887101392804085760,28739,5444
25,886983233522544640,32790,7004
26,886736880519319552,11249,2933
27,886680336477933568,21085,4082
28,886366144734445568,19849,2892
29,886267009285017600,111,4
30,886258384151887873,26265,5767
31,886054160059072513,0,100
32,885984800019947520,30571,6130
33,885528943205470208,33745,5833
34,885518971528720385,19238,3406
35,885311592912609280,0,16909
36,885167619883638784,20552,3993
37,884925521741709313,72323,16520
38,884876753390489601,26129,5099
39,884562892145688576,22804,4294
40,884441805382717440,25425,5200
41,884247878851493888,68112,18547
42,884162670584377345,19149,2735
43,883838122936631299,20517,3139
44,883482846933004288,43018,9021
45,883360690899218434,21284,3379
46,883117836046086144,34822,6062
47,882992080364220416,22417,3557
48,882762694511734784,26545,4470
49,882627270321602560,26278,5552
50,882268110199369728,42082,10569
51,882045870035918850,27515,4466
52,881906580714921986,22837,3105
53,881666595344535552,47544,9752
54,881633300179243008,118,7
55,881536004380872706,46431,14586
56,881268444196462592,21816,4816
57,880935762899988482,16035,2549
58,880872448815771648,19981,3499
59,880465832366813184,26754,5684
60,880221127280381952,25318,3806
61,880095782870896641,25939,3969
62,879862464715927552,21012,3202
63,879674319642796034,297,10
64,879492040517615616,22054,2912
65,879415818425184262,99348,40598
66,879376492567855104,15781,2861
67,879130579576475649,0,6227
68,879050749262655488,21164,4295
69,879008229531029506,17848,2457
70,878776093423087618,18190,3742
71,878604707211726852,28324,6504
72,878404777348136964,0,1177
73,878316110768087041,0,6100
74,878281511006478336,7273,1177
75,878057613040115712,39579,6227
76,877736472329191424,74509,17354
77,877611172832227328,0,73
78,877556246731214848,21346,3493
79,877316821321428993,25752,4770
80,877201837425926144,25480,5120
81,876838120628539392,19470,3056
82,876537666061221889,22230,4302
83,876484053909872640,17660,2175
84,876120275196170240,26329,4286
85,875747767867523072,23677,3912
86,875144289856114688,20631,4511
87,875097192612077568,25847,5579
88,875021211251597312,24008,4338
89,874680097055178752,26183,4253
90,874434818259525634,0,13358
91,874296783580663808,24554,3774
92,874057562936811520,21409,3660
93,874012996292530176,32325,9429
94,873580283840344065,22841,3620
95,873337748698140672,0,1472
96,873213775632977920,6758,1472
97,872967104147763200,25741,4992
98,872820683541237760,13920,3431
99,872620804844003328,19560,3362
100,872486979161796608,38505,8342
101,872122724285648897,32444,7472
102,871879754684805121,35538,10151
103,871762521631449091,19123,3229
104,871515927908634625,19099,3217
105,871166179821445120,0,5289
106,871102520638267392,19809,5107
107,871032628920680449,21528,3545
108,870804317367881728,31856,5733
109,870726314365509632,115,3
110,870656317836468226,11707,2453
111,870374049280663552,78664,24567
112,870308999962521604,20781,3855
113,870063196459192321,34643,7716
114,869772420881756160,40350,9399
115,869702957897576449,26812,5863
116,869596645499047938,15150,2906
117,869227993411051520,19398,3518
118,868880397819494401,62146,13440
119,868639477480148993,0,1939
120,868622495443632128,25374,4940
121,868552278524837888,9590,1939
122,867900495410671616,23025,3902
123,867774946302451713,32336,6867
124,867421006826221569,15315,2327
125,867072653475098625,0,112
126,867051520902168576,30693,7370
127,866720684873056260,19099,4487
128,866686824827068416,18393,3272
129,866450705531457537,116497,32987
130,866334964761202691,49992,13359
131,866094527597207552,0,7853
132,865718153858494464,24496,5271
133,865359393868664832,25277,4700
134,865006731092295680,26757,7226
135,864873206498414592,30841,8161
136,864279568663928832,13938,2840
137,864197398364647424,28673,8331
138,863907417377173506,19693,3896
139,863553081350529029,14609,3940
140,863471782782697472,0,2288
141,863432100342583297,22765,4947
142,863427515083354112,2111,90
143,863079547188785154,8410,1047
144,863062471531167744,8105,2288
145,862831371563274240,18396,4859
146,862722525377298433,16385,3340
147,862457590147678208,19606,4657
148,862096992088072192,71142,21863
149,861383897657036800,34610,10127
150,861288531465048066,16484,3914
151,861005113778896900,16040,3610
152,860981674716409858,0,2034
153,860924035999428608,0,760
154,860563773140209665,7199,2034
155,860524505164394496,22710,5040
156,860276583193509888,17671,3325
157,860184849394610176,16056,5549
158,860177593139703809,0,29356
159,859924526012018688,18844,3902
160,859851578198683649,14852,3335
161,859607811541651456,17939,1487
162,859196978902773760,86482,28667
163,859074603037188101,32594,12972
164,858860390427611136,0,7725
165,858843525470990336,15032,3321
166,858471635011153920,20757,4631
167,858107933456039936,15211,2772
168,857989990357356544,15557,2480
169,857746408056729600,33121,10156
170,857393404942143489,5697,1572
171,857263160327368704,19406,4323
172,857214891891077121,219,17
173,857062103051644929,0,162
174,857029823797047296,18261,3817
175,856543823941562368,15823,2771
176,856526610513747968,11516,1801
177,856330835276025856,0,646
178,856288084350160898,499,15
179,856282028240666624,26912,6042
180,855862651834028034,328,25
181,855860136149123072,4780,940
182,855857698524602368,11535,2033
183,855851453814013952,44453,17364
184,855818117272018944,25925,5226
185,855459453768019968,29028,7927
186,855245323840757760,0,5754
187,855138241867124737,0,43
188,854732716440526848,22164,5861
189,854482394044301312,28583,6651
190,854365224396361728,18429,4540
191,854120357044912130,31236,7235
192,854010172552949760,15854,3055
193,853760880890318849,27925,5573
194,853639147608842240,33913,9752
195,853299958564483072,15160,3458
196,852936405516943360,0,1940
197,852912242202992640,8850,1765
198,852672615818899456,14613,2102
199,852553447878664193,15985,3383
200,852311364735569921,32539,9695
201,852226086759018497,19618,6682
202,852189679701164033,11253,1553
203,851861385021730816,0,19
204,851591660324737024,15997,3400
205,851464819735769094,23849,6900
206,851224888060895234,20344,5609
207,850753642995093505,30320,8941
208,850380195714523136,12901,2555
209,850333567704068097,3404,322
210,850145622816686080,16087,3716
211,850019790995546112,20114,4780
212,849776966551130114,30015,7447
213,849668094696017920,0,4865
214,849412302885593088,15658,3100
215,849336543269576704,11273,1867
216,849051919805034497,41800,8335
217,848690551926992896,24885,4246
218,848324959059550208,24417,4536
219,848213670039564288,8079,720
220,848212111729840128,16134,2993
221,847978865427394560,0,3210
222,847971574464610304,0,425
223,847962785489326080,23251,5002
224,847842811428974592,5384,1314
225,847617282490613760,6919,409
226,847606175596138505,18572,3380
227,847251039262605312,20298,4258
228,847157206088847362,19693,5765
229,847116187444137987,21269,3136
230,846874817362120707,19923,3880
231,846514051647705089,44241,11414
232,846505985330044928,13990,3032
233,846153765933735936,31366,8933
234,846139713627017216,30794,9894
235,846042936437604353,15858,2834
236,845812042753855489,28996,8604
237,845677943972139009,25003,4741
238,845397057150107648,7584,1786
239,845306882940190720,23173,5335
240,845098359547420673,0,7573
241,844979544864018432,13549,2530
242,844973813909606400,14984,3157
243,844580511645339650,16371,3099
244,844223788422217728,13569,2179
245,843981021012017153,15099,2920
246,843856843873095681,21356,4580
247,843604394117681152,16792,2724
248,843235543001513987,21423,5982
249,842846295480000512,15226,3615
250,842765311967449089,6701,1271
251,842535590457499648,18035,3481
252,842163532590374912,24358,5754
253,842115215311396866,13935,3014
254,841833993020538882,0,14991
255,841680585030541313,25650,7770
256,841439858740625411,12626,3670
257,841320156043304961,19759,5479
258,841314665196081154,15808,4627
259,841077006473256960,22828,5289
260,840761248237133825,0,1762
261,840728873075638272,0,16074
262,840698636975636481,174,2
263,840696689258311684,12273,969
264,840632337062862849,8999,1762
265,840370681858686976,16433,4523
266,840268004936019968,19238,5708
267,839990271299457024,13401,2271
268,839549326359670784,27458,7725
269,839290600511926273,0,143
270,839239871831150596,27097,6521
271,838952994649550848,19651,3991
272,838921590096166913,11159,2060
273,838916489579200512,0,35
274,838831947270979586,0,10986
275,838561493054533637,10947,1336
276,838476387338051585,22510,4769
277,838201503651401729,0,10055
278,838150277551247360,1675,332
279,838085839343206401,140,1
280,838083903487373313,17637,3136
281,837820167694528512,34180,7853
282,837482249356513284,3852,443
283,837471256429613056,12825,2276
284,837110210464448512,16104,2367
285,836989968035819520,12793,2294
286,836753516572119041,19361,4648
287,836677758902222849,12636,2229
288,836648853927522308,0,555
289,836397794269200385,0,27537
290,836380477523124226,14803,2995
291,836260088725786625,21361,4312
292,836001077879255040,19133,4271
293,835685285446955009,0,8146
294,835574547218894849,17848,3629
295,835536468978302976,0,1704
296,835309094223372289,0,20996
297,835297930240217089,16534,3024
298,835264098648616962,7773,1704
299,835246439529840640,2110,73
300,835172783151792128,26258,5783
301,835152434251116546,22488,3028
302,834931633769889797,10848,1650
303,834786237630337024,21425,5515
304,834574053763584002,13722,2551
305,834477809192075265,0,10690
306,834458053273591808,9660,1691
307,834209720923721728,20695,4772
308,834167344700198914,15888,3674
309,834089966724603904,10101,2147
310,834086379323871233,13133,2219
311,833863086058651648,13485,2419
312,833826103416520705,18126,3791
313,833732339549220864,0,222
314,833722901757046785,20896,3239
315,833479644947025920,14913,2058
316,833124694597443584,20308,4865
317,832998151111966721,13330,2215
318,832769181346996225,0,39
319,832757312314028032,16950,3648
320,832682457690300417,11945,2935
321,832645525019123713,2950,534
322,832636094638288896,15938,2804
323,832397543355072512,12023,2232
324,832369877331693569,17273,3210
325,832273440279240704,11413,2352
326,832215909146226688,0,6240
327,832215726631055365,0,9396
328,832088576586297345,62,2
329,832040443403784192,0,9689
330,832032802820481025,17986,4685
331,831939777352105988,24152,6177
332,831926988323639298,338,34
333,831911600680497154,27794,6552
334,831670449226514432,10513,1836
335,831650051525054464,7198,1940
336,831552930092285952,9032,2327
337,831322785565769729,9340,1564
338,831315979191906304,6590,1135
339,831309418084069378,11834,2482
340,831262627380748289,11996,2065
341,830956169170665475,8031,1510
342,830583320585068544,67324,16909
343,830173239259324417,0,5726
344,830097400375152640,9875,2973
345,829878982036299777,0,5060
346,829861396166877184,12320,1966
347,829501995190984704,31998,10690
348,829449946868879360,10540,2042
349,829141528400556032,24589,7415
350,829011960981237760,53524,16436
351,828801551087042563,0,3445
352,828770345708580865,25783,5924
353,828708714936930305,36796,11280
354,828650029636317184,9591,1363
355,828409743546925057,6405,1174
356,828408677031882754,7734,1304
357,828381636999917570,12691,2232
358,828376505180889089,7447,1082
359,828372645993398273,12656,2971
360,828361771580813312,2214,173
361,828046555563323392,11858,2899
362,828011680017821696,10437,2168
363,827933404142436356,20287,5301
364,827653905312006145,15636,3044
365,827600520311402496,7509,953
366,827324948884643840,16008,3084
367,827199976799354881,10682,2244
368,826958653328592898,21789,5060
369,826848821049180160,36720,10284
370,826615380357632002,0,4030
371,826598799820865537,5160,256
372,826598365270007810,10143,2368
373,826476773533745153,18597,4238
374,826240494070030336,13431,2637
375,826204788643753985,4928,935
376,826115272272650244,15818,3172
377,825876512159186944,10582,1898
378,825829644528148480,12861,2519
379,825535076884762624,57396,17729
380,825147591692263424,18513,4594
381,825120256414846976,0,1277
382,825026590719483904,6378,1277
383,824796380199809024,0,5560
384,824775126675836928,15102,3565
385,824663926340194305,10638,1792
386,824325613288833024,11964,10644
387,824297048279236611,15240,3919
388,824025158776213504,4874,605
389,823939628516474880,10747,2744
390,823719002937630720,0,11351
391,823699002998870016,14167,2552
392,823581115634085888,13181,2661
393,823333489516937216,706,25
394,823322678127919110,15916,4087
395,823269594223824897,0,10031
396,822975315408461824,17514,3499
397,822872901745569793,133132,43861
398,822859134160621569,13441,2316
399,822647212903690241,0,6500
400,822610361945911296,15002,3000
401,822489057087389700,18388,6500
402,822462944365645825,28395,14529
403,822244816520155136,35405,10031
404,822163064745328640,0,4848
405,821886076407029760,11471,2351
406,821813639212650496,0,3402
407,821765923262631936,8522,1679
408,821522889702862852,8143,1794
409,821421320206483457,0,5682
410,821407182352777218,11934,4413
411,821153421864615936,258,10
412,821149554670182400,8759,2023
413,821107785811234820,9730,2166
414,821044531881721856,12829,2317
415,820837357901512704,0,6841
416,820749716845686786,32001,10055
417,820690176645140481,12373,3283
418,820494788566847489,0,572
419,820446719150292993,0,2608
420,820314633777061888,3391,572
421,820078625395449857,20098,6399
422,820013781606658049,0,1195
423,819952236453363712,5412,1195
424,819924195358416896,13078,4946
425,819711362133872643,13587,3169
426,819588359383371776,9773,2020
427,819347104292290561,7321,1227
428,819238181065359361,2299,413
429,819227688460238848,23419,6841
430,819015337530290176,0,37439
431,819015331746349057,0,19261
432,819006400881917954,45926,19261
433,819004803107983360,88124,37439
434,818646164899774465,0,21369
435,818627210458333184,22753,7666
436,818614493328580609,9994,2610
437,818588835076603904,0,6261
438,818536468981415936,11063,2505
439,818307523543449600,0,8241
440,818259473185828864,11193,2310
441,818145370475810820,12492,2617
442,817908911860748288,4938,818
443,817827839487737858,52482,27537
444,817777686764523521,10913,2740
445,817536400337801217,11960,3020
446,817502432452313088,0,3454
447,817423860136083457,34413,14991
448,817415592588222464,5696,970
449,817181837579653120,0,8618
450,817171292965273600,8921,2061
451,817120970343411712,12402,2649
452,817056546584727552,8729,1675
453,816829038950027264,0,4796
454,816816676327063552,10193,2077
455,816697700272001025,9967,2235
456,816450570814898180,30984,8241
457,816336735214911488,8748,1980
458,816091915477250048,9078,2184
459,816062466425819140,0,1042
460,816014286006976512,0,5380
461,815990720817401858,5042,1042
462,815966073409433600,22784,8618
463,815745968457060357,0,4217
464,815736392542261248,10025,2313
465,815639385530101762,8361,1680
466,815390420867969024,10543,3879
467,814986499976527872,7781,1300
468,814638523311648768,11466,2753
469,814578408554463233,0,5952
470,814530161257443328,8811,1905
471,814153002265309185,29289,8859
472,813944609378369540,0,3245
473,813910438903693312,9461,1905
474,813812741911748608,37057,14262
475,813800681631023104,8474,1801
476,813217897535406080,18991,7443
477,813202720496779264,9405,1843
478,813187593374461952,20254,4459
479,813172488309972993,9441,1967
480,813157409116065792,7916,2261
481,813142292504645637,8632,2434
482,813130366689148928,4558,457
483,813127251579564032,12073,3195
484,813112105746448384,10508,2800
485,813096984823349248,10760,3693
486,813081950185472002,10074,2833
487,813066809284972545,8104,1996
488,813051746834595840,21382,7519
489,812781120811126785,7720,1948
490,812709060537683968,6747,1464
491,812503143955202048,6194,1246
492,812466873996607488,8114,1978
493,812372279581671427,13921,3739
494,811985624773361665,7400,1432
495,811744202451197953,7691,1636
496,811647686436880384,5718,760
497,811627233043480576,13018,3150
498,811386762094317568,21350,6515
499,810984652412424192,5445,1468
500,810896069567610880,9200,1809
501,810657578271330305,11192,2709
502,810284430598270976,35988,11552
503,810254108431155201,15004,3445
504,809920764300447744,15831,4030
505,809808892968534016,0,5012
506,809448704142938112,7077,1499
507,809220051211603969,20334,5726
508,809084759137812480,13513,3608
509,808838249661788160,10320,3114
510,808733504066486276,8064,2217
511,808501579447930884,11526,2668
512,808344865868283904,43453,21369
513,808134635716833280,0,6070
514,808106460588765185,8969,2252
515,808001312164028416,12777,3614
516,807621403335917568,14876,3713
517,807106840509214720,120789,56767
518,807059379405148160,0,7518
519,807010152071229440,13338,3950
520,806629075125202948,76299,35503
521,806620845233815552,0,5665
522,806576416489959424,4997,1991
523,806542213899489280,10439,2408
524,806242860592926720,0,11910
525,806219024703037440,6568,1219
526,805958939288408065,0,5494
527,805932879469572096,8451,1963
528,805826884734976000,6701,1874
529,805823200554876929,0,8226
530,805520635690676224,5871,1697
531,805487436403003392,8969,2577
532,805207613751304193,7985,1756
533,804738756058218496,13984,3909
534,804475857670639616,6266,2065
535,804413760345620481,0,3308
536,804026241225523202,45424,16552
537,803773340896923648,10267,2811
538,803692223237865472,0,7604
539,803638050916102144,11179,4235
540,803380650405482500,7936,1908
541,803321560782307329,0,5452
542,803276597545603072,10240,2515
543,802952499103731712,9211,2060
544,802624713319034886,0,2982
545,802600418706604034,7253,1506
546,802572683846291456,9116,2572
547,802323869084381190,16558,5976
548,802265048156610565,6908,1412
549,802239329049477120,9263,2687
550,802185808107208704,0,279
551,801958328846974976,7907,1751
552,801854953262350336,1813,243
553,801538201127157760,8393,2117
554,801285448605831168,6186,845
555,801167903437357056,24996,6070
556,801127390143516673,0,4044
557,801115127852503040,8245,2153
558,800859414831898624,696,98
559,800855607700029440,0,1648
560,800751577355128832,10775,2865
561,800513324630806528,13409,3060
562,800459316964663297,9699,2224
563,800443802682937345,0,4424
564,800388270626521089,11392,2876
565,800188575492947969,0,4037
566,800141422401830912,15606,2608
567,800018252395122689,28952,13492
568,799774291445383169,0,4808
569,799757965289017345,8558,2219
570,799422933579902976,8219,1972
571,799308762079035393,0,5607
572,799297110730567681,10099,2830
573,799063482566066176,8223,2519
574,798933969379225600,13373,4578
575,798925684722855936,7646,1477
576,798705661114773508,0,6803
577,798701998996647937,0,7980
578,798697898615730177,0,6659
579,798694562394996736,0,5082
580,798686750113755136,0,2389
581,798682547630837760,0,4832
582,798673117451325440,0,5678
583,798665375516884993,0,4009
584,798644042770751489,0,1898
585,798628517273620480,0,2022
586,798585098161549313,0,5859
587,798576900688019456,0,5992
588,798340744599797760,0,3429
589,798209839306514432,10645,2621
590,797971864723324932,11860,3182
591,797545162159308800,14846,4990
592,797236660651966464,20367,6751
593,797165961484890113,228,26
594,796904159865868288,0,9141
595,796865951799083009,7850,1960
596,796759840936919040,12094,3119
597,796563435802726400,0,7446
598,796484825502875648,7734,1805
599,796387464403357696,11232,4251
600,796177847564038144,0,14632
601,796149749086875649,32943,14632
602,796125600683540480,5070,1855
603,796116448414461957,9308,2474
604,796080075804475393,8645,2370
605,796031486298386433,11045,3801
606,795464331001561088,50719,24238
607,795400264262053889,10274,2948
608,795076730285391872,16547,5560
609,794983741416415232,0,3458
610,794926597468000259,10471,2365
611,794355576146903043,0,10557
612,794332329137291264,9783,2738
613,794205286408003585,9413,3397
614,793962221541933056,17188,5012
615,793845145112371200,9425,1915
616,793614319594401792,0,3213
617,793601777308463104,8151,1668
618,793500921481273345,10897,2433
619,793286476301799424,25142,9396
620,793271401113350145,8881,2452
621,793256262322548741,20396,8549
622,793241302385262592,10737,3377
623,793226087023144960,10046,2940
624,793210959003287553,9113,2867
625,793195938047070209,15613,5767
626,793180763617361921,7081,2049
627,793165685325201412,9616,2853
628,793150605191548928,6316,1743
629,793135492858580992,6569,2555
630,793120401413079041,12942,4015
631,792913359805018113,14636,4072
632,792883833364439040,11546,4370
633,792773781206999040,7507,1717
634,792394556390137856,13739,4397
635,792050063153438720,7307,1848
636,791821351946420224,0,21598
637,791784077045166082,0,9820
638,791780927877898241,0,3909
639,791774931465953280,46074,22743
640,791672322847637504,12001,3213
641,791406955684368384,13413,4217
642,791312159183634433,8962,2596
643,791026214425268224,0,4199
644,790987426131050500,10039,2182
645,790946055508652032,16999,4796
646,790723298204217344,0,2365
647,790698755171364864,8398,1971
648,790581949425475584,21071,7333
649,790337589677002753,7996,1924
650,790277117346975746,12818,3245
651,790227638568808452,0,3656
652,789986466051088384,9452,2365
653,789960241177853952,0,4213
654,789903600034189313,10568,4224
655,789628658055020548,7654,1813
656,789599242079838210,6896,1972
657,789530877013393408,11983,3458
658,789314372632018944,8828,2349
659,789280767834746880,0,5061
660,789268448748703744,9289,2665
661,789137962068021249,9911,2865
662,788908386943430656,27983,12755
663,788765914992902144,27902,10557
664,788552643979468800,0,7350
665,788412144018661376,15857,5392
666,788178268662984705,7366,2143
667,788150585577050112,6240,1314
668,788070120937619456,0,3503
669,788039637453406209,6245,1351
670,787810552592695296,8809,3118
671,787717603741622272,10454,2847
672,787397959788929025,11086,2904
673,787322443945877504,7933,1780
674,787111942498508800,0,6891
675,786963064373534720,27144,8146
676,786729988674449408,0,2470
677,786709082849828864,18612,6240
678,786664955043049472,10807,2612
679,786595970293370880,9606,3180
680,786363235746385920,11100,3587
681,786286427768250368,8124,2909
682,786233965241827333,15557,4848
683,786051337297522688,1455,159
684,786036967502913536,0,7172
685,785927819176054784,11605,3250
686,785872687017132033,6819,1859
687,785639753186217984,7981,2281
688,785533386513321988,9278,2037
689,785515384317313025,6222,1285
690,785264754247995392,7395,1676
691,785170936622350336,12269,4935
692,784826020293709826,10305,3308
693,784517518371221505,9136,2590
694,784431430411685888,5797,1295
695,784183165795655680,20459,8226
696,784057939640352768,30306,11351
697,783839966405230592,30566,10986
698,783821107061198850,7485,2010
699,783695101801398276,10659,3280
700,783466772167098368,8605,2290
701,783391753726550016,17178,5594
702,783347506784731136,0,5658
703,783334639985389568,29673,11910
704,783085703974514689,8298,2241
705,782969140009107456,24550,7518
706,782747134529531904,7610,1438
707,782722598790725632,17581,5494
708,782598640137187329,7932,1910
709,782305867769217024,16932,5682
710,782021823840026624,0,6328
711,781955203444699136,11306,3439
712,781661882474196992,10606,2775
713,781655249211752448,4060,1147
714,781524693396357120,21077,5665
715,781308096455073793,7260,2593
716,781251288990355457,8566,2117
717,781163403222056960,9971,2786
718,780931614150983680,21996,7446
719,780858289093574656,7304,2046
720,780800785462489090,5578,1326
721,780601303617732608,12307,3402
722,780543529827336192,6406,1770
723,780496263422808064,0,3766
724,780476555013349377,0,115
725,780459368902959104,5376,1096
726,780192070812196864,8845,2285
727,780092040432480260,0,2336
728,780074436359819264,12386,5058
729,779834332596887552,19207,7172
730,779377524342161408,8940,3164
731,779124354206535695,0,18630
732,779056095788752897,14996,4602
733,778990705243029504,20279,7333
734,778774459159379968,0,10067
735,778764940568104960,881,366
736,778748913645780993,6993,1336
737,778650543019483137,5858,1528
738,778624900596654080,4710,1025
739,778408200802557953,13815,4405
740,778396591732486144,0,12448
741,778383385161035776,5930,1120
742,778286810187399168,10534,3355
743,778039087836069888,8628,2687
744,778027034220126208,6649,1641
745,777953400541634568,0,3582
746,777885040357281792,6443,1651
747,777684233540206592,11402,2982
748,777641927919427584,0,4299
749,777621514455814149,8878,2538
750,777189768882946048,14473,4369
751,776819012571455488,0,13905
752,776813020089548800,4943,1231
753,776477788987613185,8948,2826
754,776249906839351296,0,9279
755,776218204058357768,30336,16107
756,776201521193218049,9754,2548
757,776113305656188928,11936,4424
758,776088319444877312,1863,153
759,775898661951791106,0,16784
760,775842724423557120,11879,2694
761,775733305207554048,14048,4044
762,775729183532220416,13164,4661
763,775364825476165632,7497,3016
764,775350846108426240,10304,3960
765,775085132600442880,15762,4808
766,774757898236878852,8717,1813
767,774639387460112384,6826,1755
768,774314403806253056,22060,5607
769,773985732834758656,10874,3929
770,773922284943896577,6479,1770
771,773704687002451968,6691,1649
772,773670353721753600,5414,1330
773,773547596996571136,22397,6261
774,773336787167145985,0,5157
775,773308824254029826,23608,7573
776,773247561583001600,9572,3288
